STATE,DISTRICT,YEAR,Murder,Rape,Kidnapping Abduction,Dacoity,Robbery,Arson,Hurt,Protection of Civil Rights (PCR) Act,Prevention of atrocities (POA) Act,Other Crimes Against STs,CRIME_GROUP,SOURCE_FILE,SOURCE_ROW_ID,SOURCE_RECORD_ID,DUPLICATE_KEY_FLAG,DATA_QUALITY_FLAG,UNIT_NAME,UNIT_TYPE,SOURCE_QUALITY_STATUS
Odisha,DHENKANAL,2013,0,1,2,1,0,0,4,0,31,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,513,02_District_wise_crimes_committed_against_ST_2013.csv::513,False,UNIQUE,DHENKANAL,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,GAJAPATI,2013,0,0,0,0,0,0,5,0,8,2,ST,02_District_wise_crimes_committed_against_ST_2013.csv,514,02_District_wise_crimes_committed_against_ST_2013.csv::514,False,UNIQUE,GAJAPATI,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,GANJAM,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,515,02_District_wise_crimes_committed_against_ST_2013.csv::515,False,UNIQUE,GANJAM,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,JAGATSINGHPUR,2013,0,0,0,0,0,0,0,0,2,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,516,02_District_wise_crimes_committed_against_ST_2013.csv::516,False,UNIQUE,JAGATSINGHPUR,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,JAJPUR,2013,0,1,0,0,0,0,7,0,6,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,517,02_District_wise_crimes_committed_against_ST_2013.csv::517,False,UNIQUE,JAJPUR,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,JHARSUGUDA,2013,0,2,0,0,0,0,13,0,15,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,518,02_District_wise_crimes_committed_against_ST_2013.csv::518,False,UNIQUE,JHARSUGUDA,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,KALAHANDI,2013,2,4,0,0,0,0,0,0,34,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,519,02_District_wise_crimes_committed_against_ST_2013.csv::519,False,UNIQUE,KALAHANDI,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,KANDHAMAL,2013,0,2,0,0,0,0,7,0,13,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,520,02_District_wise_crimes_committed_against_ST_2013.csv::520,False,UNIQUE,KANDHAMAL,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,KENDRAPARA,2013,0,0,0,0,0,1,0,0,1,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,521,02_District_wise_crimes_committed_against_ST_2013.csv::521,False,UNIQUE,KENDRAPARA,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,KEONJHAR,2013,0,6,0,0,0,0,23,0,29,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,522,02_District_wise_crimes_committed_against_ST_2013.csv::522,False,UNIQUE,KEONJHAR,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,KHURDA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,523,02_District_wise_crimes_committed_against_ST_2013.csv::523,False,UNIQUE,KHURDA,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,KORAPUT,2013,0,3,0,0,0,0,0,0,10,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,524,02_District_wise_crimes_committed_against_ST_2013.csv::524,False,UNIQUE,KORAPUT,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,MALKANGIR,2013,0,0,0,0,0,0,0,0,2,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,525,02_District_wise_crimes_committed_against_ST_2013.csv::525,False,UNIQUE,MALKANGIR,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,MAYURBHANJ,2013,1,9,2,0,0,0,36,1,76,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,526,02_District_wise_crimes_committed_against_ST_2013.csv::526,False,UNIQUE,MAYURBHANJ,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,NAYAGARH,2013,0,0,0,0,0,0,5,0,5,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,527,02_District_wise_crimes_committed_against_ST_2013.csv::527,False,UNIQUE,NAYAGARH,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,NOWRANGPUR,2013,0,8,0,0,1,0,11,0,25,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,528,02_District_wise_crimes_committed_against_ST_2013.csv::528,False,UNIQUE,NOWRANGPUR,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,NUAPADA,2013,0,0,0,0,0,0,6,0,6,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,529,02_District_wise_crimes_committed_against_ST_2013.csv::529,False,UNIQUE,NUAPADA,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,PURI,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,530,02_District_wise_crimes_committed_against_ST_2013.csv::530,False,UNIQUE,PURI,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,RAYAGADA,2013,0,3,1,0,0,0,6,0,21,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,531,02_District_wise_crimes_committed_against_ST_2013.csv::531,False,UNIQUE,RAYAGADA,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,ROURKELA,2013,0,1,0,0,0,0,0,0,11,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,532,02_District_wise_crimes_committed_against_ST_2013.csv::532,False,UNIQUE,ROURKELA,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,SAMBALPUR,2013,0,3,0,0,0,2,11,0,28,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,533,02_District_wise_crimes_committed_against_ST_2013.csv::533,False,UNIQUE,SAMBALPUR,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,SONEPUR,2013,0,2,0,0,0,0,2,0,12,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,534,02_District_wise_crimes_committed_against_ST_2013.csv::534,False,UNIQUE,SONEPUR,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,SRP(CUTTACK),2013,0,0,0,0,1,0,0,0,1,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,535,02_District_wise_crimes_committed_against_ST_2013.csv::535,False,UNIQUE,SRP(CUTTACK),DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,SRP(ROURKELA),2013,0,0,0,0,0,0,0,0,2,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,536,02_District_wise_crimes_committed_against_ST_2013.csv::536,False,UNIQUE,SRP(ROURKELA),DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,SUNDARGARH,2013,0,3,0,0,0,0,9,0,19,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,537,02_District_wise_crimes_committed_against_ST_2013.csv::537,False,UNIQUE,SUNDARGARH,DISTRICT_OR_REPORTING_UNIT,VALID
Odisha,ZZ TOTAL,2013,4,58,8,1,3,5,196,1,513,2,ST,02_District_wise_crimes_committed_against_ST_2013.csv,538,02_District_wise_crimes_committed_against_ST_2013.csv::538,False,UNIQUE,ZZ TOTAL,DISTRICT_OR_REPORTING_UNIT,VALID
Punjab,AMRITSAR RURAL,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,539,02_District_wise_crimes_committed_against_ST_2013.csv::539,False,UNIQUE,AMRITSAR RURAL,SPECIAL_UNIT,VALID
Punjab,BARNALA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,540,02_District_wise_crimes_committed_against_ST_2013.csv::540,False,UNIQUE,BARNALA,DISTRICT_OR_REPORTING_UNIT,VALID
Punjab,BATALA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,541,02_District_wise_crimes_committed_against_ST_2013.csv::541,False,UNIQUE,BATALA,DISTRICT_OR_REPORTING_UNIT,VALID
Punjab,BHATINDA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,542,02_District_wise_crimes_committed_against_ST_2013.csv::542,False,UNIQUE,BHATINDA,DISTRICT_OR_REPORTING_UNIT,VALID
Punjab,CP AMRITSAR,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,543,02_District_wise_crimes_committed_against_ST_2013.csv::543,False,UNIQUE,CP AMRITSAR,DISTRICT_OR_REPORTING_UNIT,VALID
Punjab,CP JALANDHAR,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,544,02_District_wise_crimes_committed_against_ST_2013.csv::544,False,UNIQUE,CP JALANDHAR,DISTRICT_OR_REPORTING_UNIT,VALID
Punjab,CP LUDHIANA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,545,02_District_wise_crimes_committed_against_ST_2013.csv::545,False,UNIQUE,CP LUDHIANA,DISTRICT_OR_REPORTING_UNIT,VALID
Punjab,FARIDKOT,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,546,02_District_wise_crimes_committed_against_ST_2013.csv::546,False,UNIQUE,FARIDKOT,DISTRICT_OR_REPORTING_UNIT,VALID
Punjab,FATEHGARH SAHIB,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,547,02_District_wise_crimes_committed_against_ST_2013.csv::547,False,UNIQUE,FATEHGARH SAHIB,DISTRICT_OR_REPORTING_UNIT,VALID
Punjab,FAZILKA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,548,02_District_wise_crimes_committed_against_ST_2013.csv::548,False,UNIQUE,FAZILKA,DISTRICT_OR_REPORTING_UNIT,VALID
Punjab,FEROZPUR,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,549,02_District_wise_crimes_committed_against_ST_2013.csv::549,False,UNIQUE,FEROZPUR,DISTRICT_OR_REPORTING_UNIT,VALID
Punjab,G.R.P,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,550,02_District_wise_crimes_committed_against_ST_2013.csv::550,False,UNIQUE,G.R.P,DISTRICT_OR_REPORTING_UNIT,VALID
Punjab,GURDASPUR,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,551,02_District_wise_crimes_committed_against_ST_2013.csv::551,False,UNIQUE,GURDASPUR,DISTRICT_OR_REPORTING_UNIT,VALID
Punjab,HOSHIARPUR,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,552,02_District_wise_crimes_committed_against_ST_2013.csv::552,False,UNIQUE,HOSHIARPUR,DISTRICT_OR_REPORTING_UNIT,VALID
Punjab,JALANDHAR RURAL,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,553,02_District_wise_crimes_committed_against_ST_2013.csv::553,False,UNIQUE,JALANDHAR RURAL,SPECIAL_UNIT,VALID
Punjab,KAPURTHALA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,554,02_District_wise_crimes_committed_against_ST_2013.csv::554,False,UNIQUE,KAPURTHALA,DISTRICT_OR_REPORTING_UNIT,VALID
Punjab,KHANNA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,555,02_District_wise_crimes_committed_against_ST_2013.csv::555,False,UNIQUE,KHANNA,DISTRICT_OR_REPORTING_UNIT,VALID
Punjab,LUDHIANA RURAL,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,556,02_District_wise_crimes_committed_against_ST_2013.csv::556,False,UNIQUE,LUDHIANA RURAL,SPECIAL_UNIT,VALID
Punjab,MANSA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,557,02_District_wise_crimes_committed_against_ST_2013.csv::557,False,UNIQUE,MANSA,DISTRICT_OR_REPORTING_UNIT,VALID
Punjab,MOGA,2013,0,0,0,0,0,0,0,0,0,0,ST,02_District_wise_crimes_committed_against_ST_2013.csv,558,02_District_wise_crimes_committed_against_ST_2013.csv::558,False,UNIQUE,MOGA,DISTRICT_OR_REPORTING_UNIT,VALID
