STATE,DISTRICT,YEAR,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,CRIME_GROUP,SOURCE_FILE,SOURCE_ROW_ID,SOURCE_RECORD_ID,DUPLICATE_KEY_FLAG,DATA_QUALITY_FLAG,UNIT_NAME,UNIT_TYPE,SOURCE_QUALITY_STATUS
ASSAM,KARIMGANJ,2001,33,8,1,9,0,30,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,59,42_District_wise_crimes_committed_against_women_2001_2012.csv::59,False,UNIQUE,KARIMGANJ,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,KOKRAJHAR,2001,14,12,0,37,0,20,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,60,42_District_wise_crimes_committed_against_women_2001_2012.csv::60,False,UNIQUE,KOKRAJHAR,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,LAKHIMPUR,2001,64,62,0,22,0,93,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,61,42_District_wise_crimes_committed_against_women_2001_2012.csv::61,False,UNIQUE,LAKHIMPUR,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,MORIGAON,2001,23,37,0,6,0,28,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,62,42_District_wise_crimes_committed_against_women_2001_2012.csv::62,False,UNIQUE,MORIGAON,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,N.C.HILLS,2001,2,4,0,2,0,7,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,63,42_District_wise_crimes_committed_against_women_2001_2012.csv::63,False,UNIQUE,N.C.HILLS,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,NAGAON,2001,51,109,1,113,4,132,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,64,42_District_wise_crimes_committed_against_women_2001_2012.csv::64,False,UNIQUE,NAGAON,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,NALBARI,2001,30,27,3,16,0,15,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,65,42_District_wise_crimes_committed_against_women_2001_2012.csv::65,False,UNIQUE,NALBARI,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,R.P.O.,2001,3,0,0,0,0,0,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,66,42_District_wise_crimes_committed_against_women_2001_2012.csv::66,False,UNIQUE,R.P.O.,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,SIBSAGAR,2001,47,64,0,28,0,0,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,67,42_District_wise_crimes_committed_against_women_2001_2012.csv::67,False,UNIQUE,SIBSAGAR,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,SONITPUR,2001,53,80,1,43,0,99,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,68,42_District_wise_crimes_committed_against_women_2001_2012.csv::68,False,UNIQUE,SONITPUR,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,TINSUKIA,2001,41,48,2,9,0,21,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,69,42_District_wise_crimes_committed_against_women_2001_2012.csv::69,False,UNIQUE,TINSUKIA,DISTRICT_OR_REPORTING_UNIT,VALID
ASSAM,TOTAL,2001,817,1070,59,850,4,1248,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,70,42_District_wise_crimes_committed_against_women_2001_2012.csv::70,False,UNIQUE,TOTAL,AGGREGATE,VALID
BIHAR,ARARIA,2001,93,13,11,3,0,50,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,71,42_District_wise_crimes_committed_against_women_2001_2012.csv::71,False,UNIQUE,ARARIA,DISTRICT_OR_REPORTING_UNIT,VALID
BIHAR,ARWAL,2001,0,0,7,11,0,14,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,72,42_District_wise_crimes_committed_against_women_2001_2012.csv::72,False,UNIQUE,ARWAL,DISTRICT_OR_REPORTING_UNIT,VALID
BIHAR,AURANGABAD,2001,16,4,33,13,2,19,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,73,42_District_wise_crimes_committed_against_women_2001_2012.csv::73,False,UNIQUE,AURANGABAD,DISTRICT_OR_REPORTING_UNIT,VALID
BIHAR,BAGAHA,2001,25,6,0,4,0,2,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,74,42_District_wise_crimes_committed_against_women_2001_2012.csv::74,False,UNIQUE,BAGAHA,DISTRICT_OR_REPORTING_UNIT,VALID
BIHAR,BANKA,2001,34,10,9,0,0,16,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,75,42_District_wise_crimes_committed_against_women_2001_2012.csv::75,False,UNIQUE,BANKA,DISTRICT_OR_REPORTING_UNIT,VALID
BIHAR,BEGUSARAI,2001,13,7,21,32,0,21,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,76,42_District_wise_crimes_committed_against_women_2001_2012.csv::76,False,UNIQUE,BEGUSARAI,DISTRICT_OR_REPORTING_UNIT,VALID
