STATE,DISTRICT,YEAR,Infanticid,Other murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total,CRIME_GROUP,SOURCE_FILE,SOURCE_ROW_ID,SOURCE_RECORD_ID,DUPLICATE_KEY_FLAG,DATA_QUALITY_FLAG,UNIT_NAME,UNIT_TYPE,SOURCE_QUALITY_STATUS
Arunachal Pradesh,SIANG EAST,2013,0,0,8,5,0,0,0,0,0,0,0,2,15,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,44,03_District_wise_crimes_committed_against_children_2013.csv::44,False,UNIQUE,SIANG EAST,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,SIANG UPPER,2013,0,0,0,1,0,0,0,0,0,0,0,0,1,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,45,03_District_wise_crimes_committed_against_children_2013.csv::45,False,UNIQUE,SIANG UPPER,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,SIANG WEST,2013,0,0,5,4,0,0,0,0,0,0,0,1,10,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,46,03_District_wise_crimes_committed_against_children_2013.csv::46,False,UNIQUE,SIANG WEST,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,SUBANSIRI LOWER,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,47,03_District_wise_crimes_committed_against_children_2013.csv::47,False,UNIQUE,SUBANSIRI LOWER,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,SUBANSIRI UPPER,2013,0,0,9,1,0,0,0,0,0,0,0,1,11,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,48,03_District_wise_crimes_committed_against_children_2013.csv::48,False,UNIQUE,SUBANSIRI UPPER,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,TAWANG,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,49,03_District_wise_crimes_committed_against_children_2013.csv::49,False,UNIQUE,TAWANG,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,TIRAP,2013,0,0,0,2,0,0,0,0,0,0,0,1,3,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,50,03_District_wise_crimes_committed_against_children_2013.csv::50,False,UNIQUE,TIRAP,DISTRICT_OR_REPORTING_UNIT,VALID
Arunachal Pradesh,UPPER DIBANG VALLEY,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,51,03_District_wise_crimes_committed_against_children_2013.csv::51,False,UNIQUE,UPPER DIBANG VALLEY,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,BAKSA,2013,0,0,1,4,0,0,0,0,0,0,0,0,5,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,53,03_District_wise_crimes_committed_against_children_2013.csv::53,False,UNIQUE,BAKSA,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,BARPETA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,54,03_District_wise_crimes_committed_against_children_2013.csv::54,False,UNIQUE,BARPETA,DISTRICT_OR_REPORTING_UNIT,VALID
