STATE,DISTRICT,YEAR,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnaping & Abduction,Kidnaping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Kidnaping & Abduction_Others,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Sexual Harassment,Assault on women with intent to Disrobe,Voyeurism,Stalking,Others,Insult to the Modesty of Women_Total,At Office premises,In places related to work,In Public Transport system,In other Places,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Grievous Hurt,Hurt,Acid attack,Attempt to Acid Attack,Deaths caused with intent to cause miscarriage,Causing miscarriage without consent of women,Dacoity_Total,Dacoity with Murder,Other Dacoity,Robbery,Arson,HumanTrafficking,Abetment of Suicides of Women,UnNatural Offences,Other IPC Crimes,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986","Commission of Sati Prevention Act, 1987","Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,ITP Under Section 5,ITP Under Section 6,ITP Under Section 7,ITP Under Section 8,ITP Under Other Sections,Other SLL Crimes against Women,Total Crimes against Women,CRIME_GROUP,SOURCE_FILE,SOURCE_ROW_ID,SOURCE_RECORD_ID,DUPLICATE_KEY_FLAG,DATA_QUALITY_FLAG,UNIT_NAME,UNIT_TYPE,SOURCE_QUALITY_STATUS
Uttar Pradesh,Hardoi,2014,39,0,0,0,39,39,0,2,162,0,1,0,161,0,40,93,2,0,0,1,90,0,0,0,0,0,140,0,18,0,5,0,2,2,0,0,0,0,0,0,0,3,0,0,0,0,38,40,0,0,0,0,0,0,0,0,0,62,644,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,715,42_District_wise_crimes_committed_against_women_2014.csv::715,False,UNIQUE,Hardoi,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Hathras,2014,60,0,0,0,60,17,43,5,127,32,0,0,95,0,24,121,52,57,4,8,0,1,0,0,1,0,103,0,21,0,5,0,17,16,1,0,0,0,0,0,0,0,0,0,7,0,77,42,0,0,0,0,0,0,0,0,0,62,672,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,716,42_District_wise_crimes_committed_against_women_2014.csv::716,False,UNIQUE,Hathras,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Jalaun,2014,12,9,0,9,3,0,3,0,54,0,0,0,43,11,30,44,15,4,0,1,24,0,0,0,0,0,41,0,13,0,1,0,4,4,0,0,0,0,0,0,0,1,0,1,0,0,41,0,0,0,0,0,0,0,0,0,0,30,272,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,717,42_District_wise_crimes_committed_against_women_2014.csv::717,False,UNIQUE,Jalaun,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Jaunpur,2014,50,0,0,0,50,3,47,0,125,0,0,0,125,0,47,62,21,3,0,6,32,0,0,0,0,0,49,0,14,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,37,417,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,718,42_District_wise_crimes_committed_against_women_2014.csv::718,False,UNIQUE,Jaunpur,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Jhansi,2014,28,0,0,0,28,1,27,2,84,74,0,0,8,2,33,85,29,8,1,16,31,0,0,0,0,0,119,0,17,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,104,1,0,0,0,3,3,0,0,0,0,64,552,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,719,42_District_wise_crimes_committed_against_women_2014.csv::719,False,UNIQUE,Jhansi,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Kannauj,2014,22,0,0,0,22,1,21,0,92,0,0,0,92,0,31,98,6,7,0,6,79,0,0,0,0,0,89,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,105,0,0,0,0,0,0,0,0,0,0,59,510,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,720,42_District_wise_crimes_committed_against_women_2014.csv::720,False,UNIQUE,Kannauj,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Kanpur Dehat,2014,20,0,0,0,20,0,20,0,151,0,0,0,151,0,35,95,0,0,0,0,95,0,0,0,0,0,144,0,17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,0,512,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,721,42_District_wise_crimes_committed_against_women_2014.csv::721,False,UNIQUE,Kanpur Dehat,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Kanpur Nagar,2014,78,0,0,0,78,6,72,6,413,0,0,0,137,276,73,261,122,60,6,73,0,1,0,0,0,1,594,0,38,0,11,0,1,0,0,1,0,0,0,0,0,34,0,0,21,0,330,11,0,0,0,3,3,0,0,0,0,48,1923,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,722,42_District_wise_crimes_committed_against_women_2014.csv::722,False,UNIQUE,Kanpur Nagar,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Kasganj,2014,19,0,0,0,19,4,15,0,96,96,0,0,0,0,29,58,33,12,3,10,0,0,0,0,0,0,21,0,3,6,2,0,3,3,0,0,0,0,0,0,0,0,0,0,4,0,30,0,0,0,0,0,0,0,0,0,0,27,298,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,723,42_District_wise_crimes_committed_against_women_2014.csv::723,False,UNIQUE,Kasganj,DISTRICT_OR_REPORTING_UNIT,VALID
Uttar Pradesh,Kaushambi,2014,14,10,0,10,4,1,3,1,81,0,0,0,81,0,27,120,113,5,1,1,0,0,0,0,0,0,86,0,9,0,2,0,15,15,0,0,0,0,0,0,0,0,0,0,4,0,62,33,0,0,1,0,0,0,0,0,0,0,455,WOMEN,42_District_wise_crimes_committed_against_women_2014.csv,724,42_District_wise_crimes_committed_against_women_2014.csv::724,False,UNIQUE,Kaushambi,DISTRICT_OR_REPORTING_UNIT,VALID
