feature,q1,q3,iqr,upper_bound,outlier_count,outlier_pct
IPC_ASSAULT_OR_USE_OF_CRIMINAL_FORCE_TO_WOMEN_WITH_INTENT_TO_DISROBE,0.0,6.0,6.0,15.0,114,15.64
ST_POA_OTHER_SEXUAL_HARASSMENT,0.0,0.0,0.0,0.0,111,15.25
ST_POA_OTHER_IPC_CRIMES,0.0,2.0,2.0,5.0,110,15.11
IPC_FORGERY,0.0,6.0,6.0,15.0,108,14.81
WOMEN_ITP_UNDER_SECTION_5,0.0,0.0,0.0,0.0,106,14.56
WOMEN_INSULT_TO_THE_MODESTY_OF_WOMEN_TOTAL,0.0,5.0,5.0,12.5,106,14.56
IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,0.0,5.0,5.0,12.5,106,14.54
ST_POA_RAPE,0.0,1.0,1.0,2.5,104,14.29
SC_POA_ARSON,0.0,0.0,0.0,0.0,100,13.74
WOMEN_ATTEMPT_TO_COMMIT_RAPE,0.0,4.0,4.0,10.0,99,13.6
IPC_ATTEMPT_TO_COMMIT_RAPE,0.0,4.0,4.0,10.0,99,13.58
WOMEN_DACOITY_TOTAL,0.0,0.0,0.0,0.0,98,13.46
IPC_STALKING,0.0,4.0,4.0,10.0,96,13.17
WOMEN_HUMANTRAFFICKING,0.0,0.0,0.0,0.0,96,13.19
WOMEN_STALKING,0.0,4.0,4.0,10.0,96,13.19
WOMEN_ACID_ATTACK,0.0,0.0,0.0,0.0,96,13.19
ST_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,0.0,0.0,0.0,0.0,95,1.07
SC_POA_OTHER_IPC_CRIMES,0.0,29.0,29.0,72.5,95,13.05
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,0.0,3.0,3.0,7.5,95,13.05
SC_TOTAL_IPC_CRIMES_AGAINST_SCS,0.0,0.0,0.0,0.0,95,13.05
IPC_RIOTS_CASTE_CONFLICT,0.0,0.0,0.0,0.0,94,12.89
SC_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,0.0,1.0,1.0,2.5,93,12.77
ST_POA_MURDER,0.0,0.0,0.0,0.0,93,12.77
ST_TOTAL_CRIMES_AGAINST_STS,0.0,11.0,11.0,27.5,92,12.64
IPC_OFFENCES_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,0.0,0.0,0.0,0.0,92,12.62
WOMEN_OTHER_DACOITY,0.0,0.0,0.0,0.0,92,12.64
IPC_DEATHS_DUE_TO_OTHER_CAUSES,0.0,5.0,5.0,12.5,91,12.48
SC_POA_MURDER,0.0,1.0,1.0,2.5,91,12.5
WOMEN_ABETMENT_OF_SUICIDES_OF_WOMEN,0.0,4.0,4.0,10.0,91,12.5
WOMEN_RAPE_GANG_RAPE,0.0,3.0,3.0,7.5,89,12.23
ST_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,0.0,10.0,10.0,25.0,89,12.23
IPC_RAPE_GANG_RAPE,0.0,3.0,3.0,7.5,89,12.21
