Column,Missing_Cells,Missing_Percentage
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2013__TOTAL_NUMBER_OF_PERSONS_UNDER_TRIAL_DURING_THE_YEAR,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2013__PERSONS_UNDER_TRIAL_AT_THE_BEGINNING_OF_THE_YEAR,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2013__PERSONS_IN_WHOSE_CASES_CHARGE_SHEETS_WERE_LAID_DURING_THE_YEAR,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2013__PERSONS_IN_CUSTODY_OR_ON_BAIL_DURING_THE_STAGE_OF_INVESTIGATION_AT_THE_END_OF_THE_YEAR,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2013__PERSONS_RELEASED_OR_FREED_BY_POLICE_OR_MAGISTRATE_BEFORE_TRIAL_FOR_WANT_OF_EVIDENCE_OR_ANY_OTHER_REASON,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2013__PERSONS_IN_CUSTODY_OR_ON_BAIL_DURING_THE_STAGE_OF_INVESTIGATION_AT_THE_BEGINNING_OF_THE_YEAR,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2012__PERSONS_RELEASED_OR_FREED_BY_POLICE_OR_MAGISTRATE_BEFORE_TRIAL_FOR_WANT_OF_EVIDENCE_OR_ANY_OTHER_REASON,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2012__PERSONS_ACQUITTED,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2012__PERSONS_CONVICTED,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2012__PERSONS_IN_WHOSE_CASES_TRIALS_WERE_COMPLETED_DURING_THE_YEAR,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2012__PERSONS_IN_CUSTODY_OR_ON_BAIL_DURING_THE_STAGE_OF_TRIAL_AT_THE_END_OF_THE_YEAR,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2012__PERSONS_AGAINST_WHOM_CASES_WERE_COMPOUNDED_OR_WITHDRAWN,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2012__TOTAL_NUMBER_OF_PERSONS_UNDER_TRIAL_DURING_THE_YEAR,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2012__PERSONS_UNDER_TRIAL_AT_THE_BEGINNING_OF_THE_YEAR,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2012__PERSONS_IN_WHOSE_CASES_CHARGE_SHEETS_WERE_LAID_DURING_THE_YEAR,456,92.87169042769857
03_PERSONS_ARRESTED_AND_THEIR_DISPOSAL_BY_POLICE_AND_COURT_UNDER_CRIME_AGAINST_CHILDREN_2012__PERSONS_IN_CUSTODY_OR_ON_BAIL_DURING_THE_STAGE_OF_INVESTIGATION_AT_THE_END_OF_THE_YEAR,456,92.87169042769857
07_01_PERSONS_ARRESTED_BY_SEX_AND_AGE_GROUP_IPC_2012__FEMALE_BELOW_18_YEARS,456,92.87169042769857
07_01_PERSONS_ARRESTED_BY_SEX_AND_AGE_GROUP_IPC_2012__FEMALE_BETWEEN_18_30_YEARS,456,92.87169042769857
02_DISTRICT_WISE_CRIMES_COMMITTED_AGAINST_ST_2013__MURDER,456,92.87169042769857
07_01_PERSONS_ARRESTED_BY_SEX_AND_AGE_GROUP_IPC_2012__MALE_BETWEEN_30_45_YEARS,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__HIGHWAYS_THEFT,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__HIGHWAYS_BURGLARY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__HIGHWAYS_ROBBERY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__HIGHWAYS_DACOITY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__RESIDENTIAL_PREMISES_THEFT,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__RESIDENTIAL_PREMISES_BURGLARY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__RESIDENTIAL_PREMISES_ROBBERY,456,92.87169042769857
17_CRIME_BY_PLACE_OF_OCCURRENCE_2013__RESIDENTIAL_PREMISES_DACOITY,456,92.87169042769857
17_CASE_REPORTED_AND_VALUE_OF_PROPERTY_TAKEN_AWAY_BY_PLACE_OF_OCCURRENCE_2013__THEFT_SECTION_379_382_IPC_VALUE_OF_PROPERTY_STOLEN_IN_RUPEES,456,92.87169042769857
17_CASE_REPORTED_AND_VALUE_OF_PROPERTY_TAKEN_AWAY_BY_PLACE_OF_OCCURRENCE_2013__THEFT_SECTION_379_382_IPC_NUMBER_OF_CASES_REGISTERED,456,92.87169042769857
17_CASE_REPORTED_AND_VALUE_OF_PROPERTY_TAKEN_AWAY_BY_PLACE_OF_OCCURRENCE_2013__BURGLARY_SECTION_449_452_454_455_457_460_IPC_VALUE_OF_PROPERTY_STOLEN_IN_RUPEES,456,92.87169042769857
17_CASE_REPORTED_AND_VALUE_OF_PROPERTY_TAKEN_AWAY_BY_PLACE_OF_OCCURRENCE_2013__BURGLARY_SECTION_449_452_454_455_457_460_IPC_NUMBER_OF_CASES_REGISTERED,456,92.87169042769857
17_CASE_REPORTED_AND_VALUE_OF_PROPERTY_TAKEN_AWAY_BY_PLACE_OF_OCCURRENCE_2013__ROBBERY_SECTION_392_394_397_398_IPC_VALUE_OF_PROPERTY_STOLEN_IN_RUPEES,456,92.87169042769857
17_CASE_REPORTED_AND_VALUE_OF_PROPERTY_TAKEN_AWAY_BY_PLACE_OF_OCCURRENCE_2013__ROBBERY_SECTION_392_394_397_398_IPC_NUMBER_OF_CASES_REGISTERED,456,92.87169042769857
17_CASE_REPORTED_AND_VALUE_OF_PROPERTY_TAKEN_AWAY_BY_PLACE_OF_OCCURRENCE_2013__DACOITY_SECTION_395_398_IPC_VALUE_OF_PROPERTY_STOLEN_IN_RUPEES,456,92.87169042769857
17_CASE_REPORTED_AND_VALUE_OF_PROPERTY_TAKEN_AWAY_BY_PLACE_OF_OCCURRENCE_2013__DACOITY_SECTION_395_398_IPC_NUMBER_OF_CASES_REGISTERED,456,92.87169042769857
