column,dtype,missing_count,total_rows,missing_percentage,non_missing_count,unique_values
SC_POA_ARSON,float64,9128,9856,92.61,728,9
SC_POA_GRIEVOUS_HURT,float64,9128,9856,92.61,728,36
SC_POA_HURT,float64,9128,9856,92.61,728,36
SC_IPC_MURDER,float64,9128,9856,92.61,728,9
SC_IPC_ATTEMPT_TO_COMMIT_MURDER,float64,9128,9856,92.61,728,7
SC_IPC_RAPE,float64,9128,9856,92.61,728,11
SC_IPC_ATTEMPT_TO_COMMIT_RAPE,float64,9128,9856,92.61,728,5
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,float64,9128,9856,92.61,728,19
SC_IPC_SEXUAL_HARASSMENT,float64,9128,9856,92.61,728,7
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,float64,9128,9856,92.61,728,7
SC_IPC_VOYEURISM,float64,9128,9856,92.61,728,2
SC_IPC_STALKING,float64,9128,9856,92.61,728,5
SC_IPC_OTHER_SEXUAL_HARASSMENT,float64,9128,9856,92.61,728,14
SC_POA_STALKING,float64,9128,9856,92.61,728,7
SC_POA_OTHER_SEXUAL_HARASSMENT,float64,9128,9856,92.61,728,31
SC_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,float64,9128,9856,92.61,728,7
SC_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,float64,9128,9856,92.61,728,17
SC_POA_KIDNAPING_ABDUCTION_TOTAL,float64,9128,9856,92.61,728,9
SC_POA_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,float64,9128,9856,92.61,728,3
SC_IPC_OTHER_KIDNAPPING,float64,9128,9856,92.61,728,6
SC_IPC_DACOITY,float64,9128,9856,92.61,728,3
SC_IPC_DACOITY_WITH_MURDER,float64,9128,9856,92.61,728,1
SC_IPC_OTHER_DACOITY,float64,9128,9856,92.61,728,3
SC_IPC_ROBBERY,float64,9128,9856,92.61,728,4
SC_IPC_ARSON,float64,9128,9856,92.61,728,4
SC_IPC_GRIEVOUS_HURT,float64,9128,9856,92.61,728,8
SC_IPC_HURT,float64,9128,9856,92.61,728,8
SC_IPC_ACID_ATTACK,float64,9128,9856,92.61,728,1
SC_IPC_ATTEMPT_TO_ACID_ATTACK,float64,9128,9856,92.61,728,1
SC_POA_ACID_ATTACK,float64,9128,9856,92.61,728,2
SC_POA_ATTEMPT_TO_ACID_ATTACK,float64,9128,9856,92.61,728,2
SC_POA_RIOTS,float64,9128,9856,92.61,728,23
SC_POA_OTHER_IPC_CRIMES,float64,9128,9856,92.61,728,133
SC_POA_SC_ST_PREVENTION_OF_ATROCITIES_ACT_ONLY,float64,9128,9856,92.61,728,84
SC_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,float64,9128,9856,92.61,728,185
WOMEN_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,float64,9128,9856,92.61,728,5
WOMEN_MURDER,float64,9128,9856,92.61,728,57
WOMEN_ATTEMPT_TO_COMMIT_MURDER,float64,9128,9856,92.61,728,48
WOMEN_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,float64,9128,9856,92.61,728,11
SC_IPC_RIOTS,float64,9128,9856,92.61,728,10
SC_IPC_OTHER_IPC_CRIMES,float64,9128,9856,92.61,728,46
SC_TOTAL_IPC_CRIMES_AGAINST_SCS,float64,9128,9856,92.61,728,51
SC_MANUAL_SCAVENGERS_AND_CONSTRUCTION_OF_DRY_LATRINES_P_ACT_1993,float64,9128,9856,92.61,728,1
SC_OTHER_SLL_CRIME_AGAINST_SCS,float64,9128,9856,92.61,728,12
SC_TOTAL_CRIMES_AGAINST_SCS,float64,9128,9856,92.61,728,195
SC_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,float64,9128,9856,92.61,728,7
SC_IPC_KIDNAPPING_ABDUCTION,float64,9128,9856,92.61,728,10
SC_IPC_KIDNAPING_ABDUCTION,float64,9128,9856,92.61,728,6
SC_IPC_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,float64,9128,9856,92.61,728,1
SC_IPC_KIDNAPPING_FOR_RANSOM,float64,9128,9856,92.61,728,2
