File,Source_Rows,Source_State_Year_Keys,Source_States,Source_Years,Master_Rows_For_Those_Years,Master_States_For_Those_Years,Status
35_Human_rights_violation_by_police.csv,2267,215,31,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
36_Police_housing.csv,1044,348,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
37_Home_guards_and_auxilliary_force.csv,333,333,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
38_Unidentified_dead_bodies_recovered_and_inquest_conducted.csv,314,314,34,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
39_Specific_purpose_of_kidnapping_and_abduction.csv,3569,338,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
40_01_Custodial_death_person_remanded.csv,211,211,32,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
40_02_Custodial_death_person_not_remanded.csv,228,228,30,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
40_03_Custodial_death_during_production.csv,204,204,28,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
40_04_Custodial_death_during_hospitalization_or_treatment.csv,213,213,31,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
40_05_Custodial_death_others.csv,233,233,32,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
41_Escapes_from_police_custody.csv,311,311,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
42_Cases_under_crime_against_women.csv,4165,350,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
42_District_wise_crimes_committed_against_women_2001_2012.csv,9017,420,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",420,35,CHECKED
42_District_wise_crimes_committed_against_women_2013.csv,823,35,35,2013,35,35,CHECKED
42_District_wise_crimes_committed_against_women_2014.csv,837,36,36,2014,36,36,CHECKED
43_Arrests_under_crime_against_women.csv,4165,350,35,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",350,35,CHECKED
