column,missing_count,missing_pct,non_missing_count
WOMEN_RAPE_OTHERS,9128,92.61,728
WOMEN_ATTEMPT_TO_COMMIT_RAPE,9128,92.61,728
WOMEN_KIDNAPPING_ABDUCTION_TOTAL,9128,92.61,728
WOMEN_KIDNAPING_ABDUCTION,9128,92.61,728
WOMEN_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,9128,92.61,728
WOMEN_KIDNAPPING_FOR_RANSOM,9128,92.61,728
WOMEN_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,9128,92.61,728
WOMEN_KIDNAPING_ABDUCTION_OTHERS,9128,92.61,728
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY_TOTAL,9128,92.61,728
WOMEN_SEXUAL_HARASSMENT,9128,92.61,728
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,9128,92.61,728
WOMEN_VOYEURISM,9128,92.61,728
SC_IPC_OTHER_SEXUAL_HARASSMENT,9128,92.61,728
SC_IPC_HURT,9128,92.61,728
SC_IPC_VOYEURISM,9128,92.61,728
SC_POA_OTHER_KIDNAPPING,9128,92.61,728
SC_POA_KIDNAPPING_FOR_RANSOM,9128,92.61,728
SC_POA_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,9128,92.61,728
SC_POA_KIDNAPING_ABDUCTION_TOTAL,9128,92.61,728
SC_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,9128,92.61,728
SC_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,9128,92.61,728
SC_POA_OTHER_SEXUAL_HARASSMENT,9128,92.61,728
SC_POA_STALKING,9128,92.61,728
SC_POA_VOYEURISM,9128,92.61,728
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,9128,92.61,728
SC_POA_SEXUAL_HARASSMENT,9128,92.61,728
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,9128,92.61,728
SC_POA_ATTEMPT_TO_COMMIT_RAPE,9128,92.61,728
SC_POA_RAPE,9128,92.61,728
SC_POA_ATTEMPT_TO_COMMIT_MURDER,9128,92.61,728
SC_POA_MURDER,9128,92.61,728
SC_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,9128,92.61,728
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,9128,92.61,728
SC_POA_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,9128,92.61,728
WOMEN_ITP_UNDER_OTHER_SECTIONS,9128,92.61,728
SC_POA_DACOITY,9128,92.61,728
SC_POA_GRIEVOUS_HURT,9128,92.61,728
SC_POA_DACOITY_WITH_MURDER,9128,92.61,728
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,9128,92.61,728
SC_IPC_ATTEMPT_TO_COMMIT_RAPE,9128,92.61,728
SC_IPC_RAPE,9128,92.61,728
SC_IPC_ATTEMPT_TO_COMMIT_MURDER,9128,92.61,728
SC_IPC_MURDER,9128,92.61,728
SC_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,9128,92.61,728
SC_POA_SC_ST_PREVENTION_OF_ATROCITIES_ACT_ONLY,9128,92.61,728
SC_POA_OTHER_IPC_CRIMES,9128,92.61,728
SC_POA_ATTEMPT_TO_ACID_ATTACK,9128,92.61,728
SC_POA_ACID_ATTACK,9128,92.61,728
SC_POA_HURT,9128,92.61,728
SC_POA_RIOTS,9128,92.61,728
SC_POA_ARSON,9128,92.61,728
SC_POA_ROBBERY,9128,92.61,728
SC_POA_OTHER_DACOITY,9128,92.61,728
SC_IPC_SEXUAL_HARASSMENT,9128,92.61,728
IPC_RIOTS_COMMUNAL,9127,92.6,729
IPC_COUNTERFEIT_CURRENCY_BANK_NOTES,9127,92.6,729
IPC_RIOTS_POLITICAL,9127,92.6,729
IPC_RIOTS_CASTE_CONFLICT,9127,92.6,729
IPC_RIOTS_SC_STS_VS_NON_SCS_STS,9127,92.6,729
IPC_RIOTS_OTHER_CASTE_CONFLICT,9127,92.6,729
IPC_RIOTS_AGRARIAN,9127,92.6,729
IPC_RIOTS_STUDENTS,9127,92.6,729
IPC_RIOTS_SECTARIAN,9127,92.6,729
IPC_RIOTS_OTHERS,9127,92.6,729
IPC_FORGERY,9127,92.6,729
IPC_COUNTERFEIT_OFFENCES_RELATED_TO_COUNTERFEIT_COIN,9127,92.6,729
IPC_COUNTERFEITING_GOVERNMENT_STAMP,9127,92.6,729
IPC_GRIEVOUS_HURT,9127,92.6,729
IPC_MAKING_OR_USING_DOCUMENTS_RESEMBLING_CURRENCY,9127,92.6,729
IPC_MAKING_OR_POSSESSING_MATERIALS_FOR_FORGED_CURRENCY_BANK_NOTES,9127,92.6,729
