column,structural_group,crime_family,is_aggregate,dtype,missing_count,missing_percentage,unique_values
IPC_ASSAULT_OR_USE_OF_CRIMINAL_FORCE_TO_WOMEN_WITH_INTENT_TO_DISROBE,IPC,OTHER_CRIME,False,float64,9127,92.6,71
IPC_VOYEURISM,IPC,RAPE_SEXUAL_OFFENCES,False,float64,9127,92.6,20
IPC_STALKING,IPC,RAPE_SEXUAL_OFFENCES,False,float64,9127,92.6,61
IPC_OTHER_ASSAULT_ON_WOMEN,IPC,OTHER_CRIME,False,float64,9127,92.6,205
IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,IPC,OTHER_CRIME,False,float64,9127,92.6,71
IPC_AT_OFFICE_PREMISES,IPC,OTHER_CRIME,False,float64,9127,92.6,6
IPC_OTHER_PLACES_RELATED_TO_WORK,IPC,OTHER_CRIME,False,float64,9127,92.6,15
IPC_IN_PUBLIC_TRANSPORT_SYSTEM,IPC,OTHER_CRIME,False,float64,9127,92.6,7
IPC_PLACES_OTHER_THAN_231_232_233,IPC,OTHER_CRIME,False,float64,9127,92.6,72
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,IPC,OTHER_CRIME,False,float64,9127,92.6,5
IPC_DEATHS_DUE_TO_NEGLIGENT_DRIVING_ACT,IPC,OTHER_CRIME,False,float64,9127,92.6,324
IPC_DEATHS_DUE_TO_OTHER_CAUSES,IPC,OTHER_CRIME,False,float64,9127,92.6,59
IPC_OFFENCES_AGAINST_STATE,IPC,CRIMES_AGAINST_STATE,False,float64,9127,92.6,13
IPC_SEDITION,IPC,CRIMES_AGAINST_STATE,False,float64,9127,92.6,6
IPC_OTHER_OFFENCES_AGAINST_STATE,IPC,CRIMES_AGAINST_STATE,False,float64,9127,92.6,12
IPC_OFFENCES_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,IPC,OTHER_CRIME,False,float64,9127,92.6,14
IPC_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,IPC,OTHER_CRIME,False,float64,9127,92.6,14
IPC_IMPUTATION_ASSERTIONS_PREJUDICIAL_TO_NATIONAL_INTEGRATION,IPC,OTHER_CRIME,False,float64,9127,92.6,3
IPC_EXTORTION,IPC,EXTORTION,False,float64,9127,92.6,72
IPC_DISCLOSURE_OF_IDENTITY_OF_VICTIMS,IPC,OTHER_CRIME,False,float64,9127,92.6,3
IPC_INCIDENCE_OF_RASH_DRIVING,IPC,RASH_DRIVING,False,float64,9127,92.6,437
IPC_HUMANTRAFFICKING,IPC,HUMAN_TRAFFICKING,False,float64,9127,92.6,24
IPC_UNNATURAL_OFFENCE,IPC,UNNATURAL_OFFENCE,False,float64,9127,92.6,23
IPC_TOTAL_COGNIZABLE_IPC_CRIMES,IPC,OTHER_CRIME,True,float64,9127,92.6,686
SC_MURDER,SC,MURDER_HOMICIDE,False,float64,1003,10.18,21
SC_RAPE,SC,RAPE_SEXUAL_OFFENCES,False,float64,1003,10.18,32
SC_KIDNAPPING_AND_ABDUCTION,SC,KIDNAPPING_ABDUCTION,False,float64,1003,10.18,22
SC_DACOITY,SC,DACOITY_ROBBERY,False,float64,1003,10.18,8
SC_ROBBERY,SC,DACOITY_ROBBERY,False,float64,1003,10.18,13
SC_ARSON,SC,ARSON,False,float64,1003,10.18,16
SC_HURT,SC,HURT_ASSAULT,False,float64,1003,10.18,122
SC_PREVENTION_OF_ATROCITIES_POA_ACT,SC,OTHER_CRIME,False,float64,1003,10.18,207
SC_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,SC,OTHER_CRIME,False,float64,1003,10.18,49
SC_OTHER_CRIMES_AGAINST_SCS,SC,OTHER_CRIME,True,float64,1003,10.18,270
SC_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,SC,OTHER_CRIME,False,float64,9128,92.61,9
SC_POA_MURDER,SC,MURDER_HOMICIDE,False,float64,9128,92.61,14
SC_POA_ATTEMPT_TO_COMMIT_MURDER,SC,MURDER_HOMICIDE,False,float64,9128,92.61,12
SC_POA_RAPE,SC,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,27
SC_POA_ATTEMPT_TO_COMMIT_RAPE,SC,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,8
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,SC,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,35
SC_POA_SEXUAL_HARASSMENT,SC,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,20
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,SC,OTHER_CRIME,False,float64,9128,92.61,8
SC_POA_VOYEURISM,SC,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,4
SC_POA_STALKING,SC,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,7
SC_POA_OTHER_SEXUAL_HARASSMENT,SC,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,31
SC_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,SC,OTHER_CRIME,False,float64,9128,92.61,7
SC_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,SC,KIDNAPPING_ABDUCTION,True,float64,9128,92.61,17
SC_POA_KIDNAPING_ABDUCTION_TOTAL,SC,KIDNAPPING_ABDUCTION,True,float64,9128,92.61,9
SC_POA_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,SC,MURDER_HOMICIDE,False,float64,9128,92.61,3
SC_POA_KIDNAPPING_FOR_RANSOM,SC,KIDNAPPING_ABDUCTION,False,float64,9128,92.61,2
SC_POA_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,SC,KIDNAPPING_ABDUCTION,False,float64,9128,92.61,15
SC_POA_OTHER_KIDNAPPING,SC,KIDNAPPING_ABDUCTION,False,float64,9128,92.61,9
SC_POA_DACOITY,SC,DACOITY_ROBBERY,False,float64,9128,92.61,3
SC_POA_DACOITY_WITH_MURDER,SC,MURDER_HOMICIDE,False,float64,9128,92.61,1
