File,State_Column,Raw_State_Label
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv,STATE/UT,TOTAL (UTs)
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2012.csv,STATE/UT,TOTAL (ALL-INDIA)
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Andhra Pradesh
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Arunachal Pradesh
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Assam
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Bihar
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Chhattisgarh
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Goa
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Gujarat
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Haryana
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Himachal Pradesh
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Jammu & Kashmir
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Jharkhand
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Karnataka
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Kerala
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Madhya Pradesh
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Maharashtra
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Manipur
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Meghalaya
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Mizoram
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Nagaland
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Odisha
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Punjab
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Rajasthan
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Sikkim
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Tamil Nadu
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Tripura
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Uttar Pradesh
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Uttarakhand
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,West Bengal
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Total (State)
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,A&N Islands
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Chandigarh
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,D&N Haveli
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Daman & Diu
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Delhi UT
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Lakshadweep
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Puducherry
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Total (UTs)
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2013.csv,STATE/UT,Total (All-India)
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Andhra Pradesh
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Arunachal Pradesh
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Assam
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Bihar
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Chhattisgarh
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Goa
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Gujarat
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Haryana
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Himachal Pradesh
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Jammu & Kashmir
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Jharkhand
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Karnataka
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Kerala
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Madhya Pradesh
03_Persons_arrested_and_their_disposal_by_police_and_court_under_crime_against_children_2014.csv,States/UTs,Maharashtra
