File,Rows,Columns,Granularity,State_Column,Year_Column,Year_Source,Min_Year,Max_Year,Number_of_Years,Unique_States,Unique_State_Year_Keys,Duplicate_State_Year_Rows,Total_Summary_Rows,Duplicate_Complete_Rows,Numeric_Columns,Missing_Cells,Missing_Percentage,Malformed_Rows,Rows_Repaired,Unresolved_Rows
32_Murder_victim_age_sex.csv,1018,11,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,35,342,676,0,0,8,0,0.0,0,0,0
33_CH_not_murder_victim_age_sex.csv,936,10,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,35,326,610,0,0,8,0,0.0,0,0,0
34_Use_of_fire_arms_in_murder_cases.csv,284,5,State/Year level,Area_Name,Year,Year column,2001,2010,10,33,284,0,0,0,4,0,0.0,0,0,0
35_Human_rights_violation_by_police.csv,2267,7,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,31,215,2052,0,0,4,0,0.0,0,0,0
36_Police_housing.csv,1044,7,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,35,348,696,0,0,4,0,0.0,348,348,0
37_Home_guards_and_auxilliary_force.csv,333,8,State/Year level,Area_Name,Year,Year column,2001,2010,10,35,333,0,0,0,7,0,0.0,0,0,0
38_Unidentified_dead_bodies_recovered_and_inquest_conducted.csv,314,3,State/Year level,Area_Name,Year,Year column,2001,2010,10,34,314,0,0,0,2,0,0.0,0,0,0
39_Specific_purpose_of_kidnapping_and_abduction.csv,3569,20,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,35,338,3231,0,0,17,0,0.0,0,0,0
40_01_Custodial_death_person_remanded.csv,211,11,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,32,211,0,0,0,8,0,0.0,0,0,0
40_02_Custodial_death_person_not_remanded.csv,228,11,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,30,228,0,0,0,8,0,0.0,0,0,0
40_03_Custodial_death_during_production.csv,204,11,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,28,204,0,0,0,8,0,0.0,0,0,0
40_04_Custodial_death_during_hospitalization_or_treatment.csv,213,5,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,31,213,0,0,0,2,0,0.0,0,0,0
40_05_Custodial_death_others.csv,233,10,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,32,233,0,0,0,7,0,0.0,0,0,0
41_Escapes_from_police_custody.csv,311,21,State/Year level,Area_Name,Year,Year column,2001,2010,10,35,311,0,0,0,20,0,0.0,0,0,0
42_Cases_under_crime_against_women.csv,4165,22,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,35,350,3815,0,0,19,0,0.0,1400,1400,0
42_District_wise_crimes_committed_against_women_2001_2012.csv,9017,10,District-level,STATE/UT,Year,Year column,2001,2012,12,35,420,8597,0,0,8,0,0.0,0,0,0
42_District_wise_crimes_committed_against_women_2013.csv,823,10,District-level,STATE/UT,Year,Year column,2013,2013,1,35,35,788,0,0,8,0,0.0,0,0,0
42_District_wise_crimes_committed_against_women_2014.csv,837,62,District-level,States/UTs,Year,Year column,2014,2014,1,36,36,801,0,0,60,0,0.0,0,0,0
43_Arrests_under_crime_against_women.csv,4165,16,State/Year + Category/Group,Area_Name,Year,Year column,2001,2010,10,35,350,3815,0,0,13,0,0.0,1400,1400,0
