feature,observed_sum,mean,median,non_missing,missing_pct
IPC_ATTEMPT_TO_COMMIT_RAPE,4187.0,5.743484224965706,0.0,729,92.60349025974025
SC_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,4026.0,0.4547610979329041,0.0,8853,10.176542207792208
IPC_OTHER_DACOITY,3811.0,5.227709190672154,3.0,729,92.60349025974025
IPC_ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,3655.0,5.013717421124828,0.0,729,92.60349025974025
WOMEN_ABETMENT_OF_SUICIDES_OF_WOMEN,3270.0,4.491758241758242,0.0,728,92.61363636363636
ST_IPC_OTHER_IPC_CRIMES,3007.0,4.1304945054945055,0.0,728,92.61363636363636
ST_POA_OTHER_IPC_CRIMES,2837.0,3.896978021978022,0.0,728,92.61363636363636
SC_ARSON,2792.0,0.3153733197786061,0.0,8853,10.176542207792208
IPC_MAKING_PREPARATION_AND_ASSEMBLY_FOR_COMMITTING_DACOITY,2318.0,3.179698216735254,0.0,729,92.60349025974025
IPC_RAPE_GANG_RAPE,2267.0,3.1097393689986284,0.0,729,92.60349025974025
WOMEN_RAPE_GANG_RAPE,2267.0,3.114010989010989,0.0,728,92.61363636363636
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,2213.0,3.0398351648351647,0.0,728,92.61363636363636
SC_POA_GRIEVOUS_HURT,2093.0,2.875,0.0,728,92.61363636363636
SC_POA_HURT,2088.0,2.868131868131868,0.0,728,92.61363636363636
SC_POA_RAPE,2081.0,2.8585164835164836,1.0,728,92.61363636363636
ST_MURDER,2009.0,0.22603510351035103,0.0,8888,9.821428571428571
IPC_COUNTERFEITING,1703.0,2.336076817558299,0.0,729,92.60349025974025
IPC_RIOTS_POLITICAL,1572.0,2.156378600823045,0.0,729,92.60349025974025
CHILDREN_OTHER_MURDER,1546.0,2.103401360544218,1.0,735,92.54261363636364
WOMEN_IMMORAL_TRAFFIC_PREVENTION_ACT,1532.0,2.1043956043956045,0.0,728,92.61363636363636
IPC_KIDNAPPING_ABDUCTION_IN_ORDER_TO_MURDER,1502.0,2.0603566529492454,0.0,729,92.60349025974025
IPC_RIOTS_CASTE_CONFLICT,1427.0,1.9574759945130316,0.0,729,92.60349025974025
CHILDREN_FOETICIDE,1422.0,0.1606053761011972,0.0,8854,10.166396103896105
IPC_COUNTERFEIT_CURRENCY_BANK_NOTES,1397.0,1.916323731138546,0.0,729,92.60349025974025
CHILDREN_PROHIBITION_OF_CHILD_MARRIAGE_ACT,1239.0,0.13993675175062117,0.0,8854,10.166396103896105
ST_KIDNAPPING_ABDUCTION,1193.0,0.13422592259225924,0.0,8888,9.821428571428571
SC_POA_OTHER_SEXUAL_HARASSMENT,1179.0,1.6195054945054945,0.0,728,92.61363636363636
IPC_RIOTS_COMMUNAL,1130.0,1.5500685871056241,0.0,729,92.60349025974025
IPC_RIOTS_OTHER_CASTE_CONFLICT,1127.0,1.5459533607681757,0.0,729,92.60349025974025
IPC_UNNATURAL_OFFENCE,1074.0,1.4732510288065843,0.0,729,92.60349025974025
ST_POA_SC_ST_PREVENTION_OF_ATROCITIES_ACT_ONLY,1071.0,1.4711538461538463,0.0,728,92.61363636363636
SC_ROBBERY,960.0,0.10843781768891901,0.0,8853,10.176542207792208
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,949.0,0.1066052572455628,0.0,8902,9.679383116883116
WOMEN_IMPORTATION_OF_GIRLS,949.0,0.1066052572455628,0.0,8902,9.679383116883116
ST_POA_RAPE,868.0,1.1923076923076923,0.0,728,92.61363636363636
WOMEN_ITP_UNDER_OTHER_SECTIONS,862.0,1.184065934065934,0.0,728,92.61363636363636
CHILDREN_SELLING_OF_GIRLS_FOR_PROSTITUTION,854.0,0.09645358030268805,0.0,8854,10.166396103896105
ST_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,803.0,1.103021978021978,0.0,728,92.61363636363636
SC_POA_SEXUAL_HARASSMENT,791.0,1.0865384615384615,0.0,728,92.61363636363636
SC_POA_RIOTS,766.0,1.0521978021978022,0.0,728,92.61363636363636
CHILDREN_ABETMENT_OF_SUICIDE,736.0,0.0831262706121527,0.0,8854,10.166396103896105
SC_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,728.0,1.0,0.0,728,92.61363636363636
IPC_HUMANTRAFFICKING,692.0,0.9492455418381345,0.0,729,92.60349025974025
SC_POA_MURDER,673.0,0.9244505494505495,0.0,728,92.61363636363636
IPC_VOYEURISM,612.0,0.8395061728395061,0.0,729,92.60349025974025
WOMEN_VOYEURISM,612.0,0.8406593406593407,0.0,728,92.61363636363636
IPC_RIOTS_AGRARIAN,606.0,0.831275720164609,0.0,729,92.60349025974025
IPC_COUNTERFEITING_CURRENCY_NOTES_BANK_NOTES,595.0,0.8161865569272977,0.0,729,92.60349025974025
IPC_KIDNAPPING_FOR_RANSOM,591.0,0.8106995884773662,0.0,729,92.60349025974025
IPC_USING_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,556.0,0.7626886145404664,0.0,729,92.60349025974025
ST_ARSON,545.0,0.06131863186318632,0.0,8888,9.821428571428571
ST_POA_OTHER_SEXUAL_HARASSMENT,483.0,0.6634615384615384,0.0,728,92.61363636363636
WOMEN_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,450.0,0.6181318681318682,0.0,728,92.61363636363636
WOMEN_ARSON,443.0,0.6085164835164835,0.0,728,92.61363636363636
WOMEN_HUMANTRAFFICKING,443.0,0.6085164835164835,0.0,728,92.61363636363636
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,442.0,0.6071428571428571,0.0,728,92.61363636363636
WOMEN_ITP_UNDER_SECTION_5,437.0,0.6002747252747253,0.0,728,92.61363636363636
WOMEN_IN_PLACES_RELATED_TO_WORK,437.0,0.6002747252747253,0.0,728,92.61363636363636
IPC_OTHER_PLACES_RELATED_TO_WORK,437.0,0.5994513031550068,0.0,729,92.60349025974025
ST_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,433.0,0.04871737173717372,0.0,8888,9.821428571428571
SC_POA_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,409.0,0.5618131868131868,0.0,728,92.61363636363636
ST_ROBBERY,405.0,0.045567056705670565,0.0,8888,9.821428571428571
SC_DACOITY,395.0,0.04461764373658647,0.0,8853,10.176542207792208
SC_POA_ATTEMPT_TO_COMMIT_MURDER,393.0,0.5398351648351648,0.0,728,92.61363636363636
ST_IPC_OTHER_SEXUAL_HARASSMENT,383.0,0.5260989010989011,0.0,728,92.61363636363636
CHILDREN_BUYING_OF_GIRLS_FOR_PROSTITUTION,360.0,0.040659588886379036,0.0,8854,10.166396103896105
WOMEN_PROTECTION_OF_WOMEN_FROM_DOMESTIC_VIOLENCE_ACT_2005,356.0,0.489010989010989,0.0,728,92.61363636363636
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,327.0,0.4491758241758242,0.0,728,92.61363636363636
WOMEN_ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,314.0,0.43131868131868134,0.0,728,92.61363636363636
IPC_COUNTERFEIT_OFFENCES_RELATED_TO_COUNTERFEIT_COIN,304.0,0.4170096021947874,0.0,729,92.60349025974025
ST_IPC_KIDNAPPING_ABDUCTION,301.0,0.41346153846153844,0.0,728,92.61363636363636
IPC_RIOTS_SC_STS_VS_NON_SCS_STS,300.0,0.411522633744856,0.0,729,92.60349025974025
ST_POA_GRIEVOUS_HURT,282.0,0.3873626373626374,0.0,728,92.61363636363636
ST_POA_HURT,281.0,0.385989010989011,0.0,728,92.61363636363636
WOMEN_DACOITY_TOTAL,267.0,0.36675824175824173,0.0,728,92.61363636363636
WOMEN_OTHER_DACOITY,259.0,0.3557692307692308,0.0,728,92.61363636363636
ST_POA_SEXUAL_HARASSMENT,255.0,0.35027472527472525,0.0,728,92.61363636363636
IPC_OFFENCES_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,252.0,0.345679012345679,0.0,729,92.60349025974025
IPC_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,240.0,0.3292181069958848,0.0,729,92.60349025974025
SC_IPC_OTHER_SEXUAL_HARASSMENT,232.0,0.31868131868131866,0.0,728,92.61363636363636
IPC_CUSTODIAL_RAPE,226.0,0.023465891392378778,0.0,9631,2.282873376623377
ST_IPC_RAPE,225.0,0.3090659340659341,0.0,728,92.61363636363636
ST_DACOITY,216.0,0.024302430243024302,0.0,8888,9.821428571428571
WOMEN_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,205.0,0.2815934065934066,0.0,728,92.61363636363636
IPC_POSSESSION_OF_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,203.0,0.2784636488340192,0.0,729,92.60349025974025
WOMEN_CUSTODIAL_RAPE,199.0,0.2733516483516483,0.0,728,92.61363636363636
