,count,mean,std,min,1%,25%,50%,75%,95%,99%,max,missing_count,missing_pct
IPC_GRIEVOUS_HURT,729.0,137.50891632373114,345.7113469769711,0.0,0.0,12.0,42.0,125.0,513.8000000000005,1698.760000000001,4572.0,9127,92.6
IPC_HURT,729.0,137.1755829903978,345.6361262449689,0.0,0.0,12.0,42.0,124.0,513.4000000000005,1698.760000000001,4572.0,9127,92.6
IPC_ACID_ATTACK,729.0,0.2661179698216735,0.7151933514931809,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,9127,92.6
IPC_ATTEMPT_TO_ACID_ATTACK,729.0,0.06721536351165981,0.32247848379526195,0.0,0.0,0.0,0.0,0.0,0.6000000000000227,2.0,3.0,9127,92.6
IPC_SEXUAL_HARASSMENT,729.0,27.829903978052126,54.471018961660114,0.0,0.0,0.0,5.0,32.0,133.60000000000002,253.16000000000008,650.0,9127,92.6
IPC_ASSAULT_OR_USE_OF_CRIMINAL_FORCE_TO_WOMEN_WITH_INTENT_TO_DISROBE,729.0,8.467764060356654,22.546761312448396,0.0,0.0,0.0,0.0,6.0,44.0,88.32000000000016,358.0,9127,92.6
IPC_VOYEURISM,729.0,0.8395061728395061,2.983522105063771,0.0,0.0,0.0,0.0,1.0,4.0,13.720000000000027,41.0,9127,92.6
IPC_STALKING,729.0,5.8532235939643344,15.236293377504142,0.0,0.0,0.0,0.0,4.0,32.0,75.44000000000005,137.0,9127,92.6
IPC_OTHER_ASSAULT_ON_WOMEN,729.0,60.15637860082305,85.1516760241664,0.0,0.0,1.0,25.0,89.0,230.0,371.7600000000002,784.0,9127,92.6
IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,729.0,11.614540466392318,46.448433623606896,0.0,0.0,0.0,0.0,5.0,47.0,245.68000000000052,665.0,9127,92.6
IPC_AT_OFFICE_PREMISES,729.0,0.06584362139917696,0.44911314651130513,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,9127,92.6
IPC_OTHER_PLACES_RELATED_TO_WORK,729.0,0.5994513031550068,6.507713067495208,0.0,0.0,0.0,0.0,0.0,1.0,9.720000000000027,157.0,9127,92.6
IPC_IN_PUBLIC_TRANSPORT_SYSTEM,729.0,0.13854595336076816,2.1261735152404926,0.0,0.0,0.0,0.0,0.0,0.0,2.0,56.0,9127,92.6
IPC_PLACES_OTHER_THAN_231_232_233,729.0,10.810699588477366,44.91056247282245,0.0,0.0,0.0,0.0,4.0,43.60000000000002,245.12000000000057,658.0,9127,92.6
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,729.0,0.019204389574759947,0.2394222055453038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9127,92.6
