column_name,data_type,missing_count,missing_pct,unique_values
SC_KIDNAPPING_AND_ABDUCTION,float64,1003,10.18,22
SC_DACOITY,float64,1003,10.18,8
SC_ROBBERY,float64,1003,10.18,13
SC_ARSON,float64,1003,10.18,16
SC_HURT,float64,1003,10.18,122
SC_PREVENTION_OF_ATROCITIES_POA_ACT,float64,1003,10.18,207
SC_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,float64,1003,10.18,49
SC_OTHER_CRIMES_AGAINST_SCS,float64,1003,10.18,270
SC_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,float64,9128,92.61,9
SC_POA_MURDER,float64,9128,92.61,14
SC_POA_ATTEMPT_TO_COMMIT_MURDER,float64,9128,92.61,12
SC_POA_RAPE,float64,9128,92.61,27
SC_POA_ATTEMPT_TO_COMMIT_RAPE,float64,9128,92.61,8
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,float64,9128,92.61,35
SC_POA_SEXUAL_HARASSMENT,float64,9128,92.61,20
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,float64,9128,92.61,8
SC_POA_VOYEURISM,float64,9128,92.61,4
SC_POA_STALKING,float64,9128,92.61,7
SC_POA_OTHER_SEXUAL_HARASSMENT,float64,9128,92.61,31
SC_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,float64,9128,92.61,7
SC_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,float64,9128,92.61,17
SC_POA_KIDNAPING_ABDUCTION_TOTAL,float64,9128,92.61,9
SC_POA_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,float64,9128,92.61,3
SC_POA_KIDNAPPING_FOR_RANSOM,float64,9128,92.61,2
SC_POA_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,float64,9128,92.61,15
SC_POA_OTHER_KIDNAPPING,float64,9128,92.61,9
SC_POA_DACOITY,float64,9128,92.61,3
SC_POA_DACOITY_WITH_MURDER,float64,9128,92.61,1
SC_POA_OTHER_DACOITY,float64,9128,92.61,3
SC_POA_ROBBERY,float64,9128,92.61,5
SC_POA_ARSON,float64,9128,92.61,9
SC_POA_GRIEVOUS_HURT,float64,9128,92.61,36
SC_POA_HURT,float64,9128,92.61,36
SC_POA_ACID_ATTACK,float64,9128,92.61,2
SC_POA_ATTEMPT_TO_ACID_ATTACK,float64,9128,92.61,2
SC_POA_RIOTS,float64,9128,92.61,23
SC_POA_OTHER_IPC_CRIMES,float64,9128,92.61,133
SC_POA_SC_ST_PREVENTION_OF_ATROCITIES_ACT_ONLY,float64,9128,92.61,84
SC_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,float64,9128,92.61,185
SC_IPC_MURDER,float64,9128,92.61,9
SC_IPC_ATTEMPT_TO_COMMIT_MURDER,float64,9128,92.61,7
SC_IPC_RAPE,float64,9128,92.61,11
SC_IPC_ATTEMPT_TO_COMMIT_RAPE,float64,9128,92.61,5
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,float64,9128,92.61,19
SC_IPC_SEXUAL_HARASSMENT,float64,9128,92.61,7
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,float64,9128,92.61,7
SC_IPC_VOYEURISM,float64,9128,92.61,2
SC_IPC_STALKING,float64,9128,92.61,5
