column,structural_group,dtype,missing_percentage,unique_values
SC_POA_OTHER_IPC_CRIMES,SC,float64,92.61,133
SC_POA_SC_ST_PREVENTION_OF_ATROCITIES_ACT_ONLY,SC,float64,92.61,84
SC_TOTAL_OF_SC_ST_PREVENTION_OF_ATROCITIES_ACT_1989,SC,float64,92.61,185
SC_IPC_MURDER,SC,float64,92.61,9
SC_IPC_ATTEMPT_TO_COMMIT_MURDER,SC,float64,92.61,7
SC_IPC_RAPE,SC,float64,92.61,11
SC_IPC_ATTEMPT_TO_COMMIT_RAPE,SC,float64,92.61,5
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,SC,float64,92.61,19
SC_IPC_SEXUAL_HARASSMENT,SC,float64,92.61,7
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,SC,float64,92.61,7
SC_IPC_VOYEURISM,SC,float64,92.61,2
SC_IPC_STALKING,SC,float64,92.61,5
SC_IPC_OTHER_SEXUAL_HARASSMENT,SC,float64,92.61,14
SC_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,SC,float64,92.61,7
SC_IPC_KIDNAPPING_ABDUCTION,SC,float64,92.61,10
SC_IPC_KIDNAPING_ABDUCTION,SC,float64,92.61,6
SC_IPC_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,SC,float64,92.61,1
SC_IPC_KIDNAPPING_FOR_RANSOM,SC,float64,92.61,2
SC_IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,SC,float64,92.61,7
SC_IPC_OTHER_KIDNAPPING,SC,float64,92.61,6
SC_IPC_DACOITY,SC,float64,92.61,3
SC_IPC_DACOITY_WITH_MURDER,SC,float64,92.61,1
SC_IPC_OTHER_DACOITY,SC,float64,92.61,3
SC_IPC_ROBBERY,SC,float64,92.61,4
SC_IPC_ARSON,SC,float64,92.61,4
SC_IPC_GRIEVOUS_HURT,SC,float64,92.61,8
SC_IPC_HURT,SC,float64,92.61,8
SC_IPC_ACID_ATTACK,SC,float64,92.61,1
SC_IPC_ATTEMPT_TO_ACID_ATTACK,SC,float64,92.61,1
SC_IPC_RIOTS,SC,float64,92.61,10
SC_IPC_OTHER_IPC_CRIMES,SC,float64,92.61,46
SC_TOTAL_IPC_CRIMES_AGAINST_SCS,SC,float64,92.61,51
SC_MANUAL_SCAVENGERS_AND_CONSTRUCTION_OF_DRY_LATRINES_P_ACT_1993,SC,float64,92.61,1
SC_OTHER_SLL_CRIME_AGAINST_SCS,SC,float64,92.61,12
SC_TOTAL_CRIMES_AGAINST_SCS,SC,float64,92.61,195
ST_MURDER,ST,float64,9.82,23
