dataset_a,dataset_b,family_a,family_b,shared_dimensions,shared_dimension_count
01_District_wise_crimes_committed_IPC_2001_2012.csv,40_01_Custodial_death_person_remanded.csv,DISTRICT_WISE_CRIME,JUSTICE_COURT,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,40_02_Custodial_death_person_not_remanded.csv,DISTRICT_WISE_CRIME,JUSTICE_COURT,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,40_03_Custodial_death_during_production.csv,DISTRICT_WISE_CRIME,JUSTICE_COURT,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,40_04_Custodial_death_during_hospitalization_or_treatment.csv,DISTRICT_WISE_CRIME,JUSTICE_COURT,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,40_05_Custodial_death_others.csv,DISTRICT_WISE_CRIME,JUSTICE_COURT,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,41_Escapes_from_police_custody.csv,DISTRICT_WISE_CRIME,POLICE_ADMINISTRATION,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,42_Cases_under_crime_against_women.csv,DISTRICT_WISE_CRIME,JUSTICE_COURT,year,1
01_District_wise_crimes_committed_IPC_2001_2012.csv,42_District_wise_crimes_committed_against_women_2001_2012.csv,DISTRICT_WISE_CRIME,DISTRICT_WISE_CRIME,"year, state, district",3
01_District_wise_crimes_committed_IPC_2001_2012.csv,42_District_wise_crimes_committed_against_women_2013.csv,DISTRICT_WISE_CRIME,DISTRICT_WISE_CRIME,"year, state, district",3
01_District_wise_crimes_committed_IPC_2001_2012.csv,42_District_wise_crimes_committed_against_women_2014.csv,DISTRICT_WISE_CRIME,DISTRICT_WISE_CRIME,"year, state, district",3
01_District_wise_crimes_committed_IPC_2001_2012.csv,43_Arrests_under_crime_against_women.csv,DISTRICT_WISE_CRIME,ARREST_DISPOSAL,year,1
01_District_wise_crimes_committed_IPC_2013.csv,01_District_wise_crimes_committed_IPC_2014.csv,DISTRICT_WISE_CRIME,DISTRICT_WISE_CRIME,"year, state, district",3
