feature,mean_observed,median_observed,max_observed,non_missing,missing_pct
WOMEN_OTHER_DACOITY,0.3557692307692308,0.0,53.0,728,92.61363636363636
ST_POA_SEXUAL_HARASSMENT,0.35027472527472525,0.0,24.0,728,92.61363636363636
IPC_OFFENCES_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,0.345679012345679,0.0,14.0,729,92.60349025974025
IPC_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,0.3292181069958848,0.0,14.0,729,92.60349025974025
SC_IPC_OTHER_SEXUAL_HARASSMENT,0.31868131868131866,0.0,47.0,728,92.61363636363636
SC_ARSON,0.3153733197786061,0.0,28.0,8853,10.176542207792208
ST_IPC_RAPE,0.3090659340659341,0.0,95.0,728,92.61363636363636
WOMEN_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,0.2815934065934066,0.0,88.0,728,92.61363636363636
IPC_POSSESSION_OF_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,0.2784636488340192,0.0,51.0,729,92.60349025974025
WOMEN_CUSTODIAL_RAPE,0.2733516483516483,0.0,28.0,728,92.61363636363636
IPC_RIOTS_STUDENTS,0.2729766803840878,0.0,40.0,729,92.60349025974025
IPC_ACID_ATTACK,0.2661179698216735,0.0,8.0,729,92.60349025974025
WOMEN_CUSTODIAL_OTHER_RAPE,0.26373626373626374,0.0,28.0,728,92.61363636363636
IPC_CUSTODIAL_OTHER_RAPE,0.26337448559670784,0.0,28.0,729,92.60349025974025
ST_IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,0.25,0.0,87.0,728,92.61363636363636
IPC_RIOTS_INDUSTRIAL,0.24005486968449932,0.0,92.0,729,92.60349025974025
SC_POA_ARSON,0.23626373626373626,0.0,14.0,728,92.61363636363636
IPC_OFFENCES_AGAINST_STATE,0.23045267489711935,0.0,18.0,729,92.60349025974025
SC_POA_KIDNAPING_ABDUCTION_TOTAL,0.22664835164835165,0.0,16.0,728,92.61363636363636
ST_MURDER,0.22603510351035103,0.0,42.0,8888,9.821428571428571
ST_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,0.22252747252747251,0.0,15.0,728,92.61363636363636
SC_OTHER_SLL_CRIME_AGAINST_SCS,0.2129120879120879,0.0,25.0,728,92.61363636363636
SC_POA_OTHER_KIDNAPPING,0.2032967032967033,0.0,11.0,728,92.61363636363636
ST_POA_MURDER,0.1978021978021978,0.0,6.0,728,92.61363636363636
SC_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,0.18681318681318682,0.0,9.0,728,92.61363636363636
IPC_DISCLOSURE_OF_IDENTITY_OF_VICTIMS,0.18518518518518517,0.0,131.0,729,92.60349025974025
WOMEN_ACID_ATTACK,0.17994505494505494,0.0,7.0,728,92.61363636363636
SC_IPC_RAPE,0.17857142857142858,0.0,24.0,728,92.61363636363636
IPC_OTHER_OFFENCES_AGAINST_STATE,0.1673525377229081,0.0,17.0,729,92.60349025974025
SC_IPC_KIDNAPPING_ABDUCTION,0.16071428571428573,0.0,34.0,728,92.61363636363636
CHILDREN_FOETICIDE,0.1606053761011972,0.0,20.0,8854,10.166396103896105
SC_IPC_HURT,0.14285714285714285,0.0,20.0,728,92.61363636363636
SC_IPC_GRIEVOUS_HURT,0.14285714285714285,0.0,20.0,728,92.61363636363636
ST_OTHER_SLL_CRIME_AGAINST_STS,0.1401098901098901,0.0,31.0,728,92.61363636363636
CHILDREN_PROHIBITION_OF_CHILD_MARRIAGE_ACT,0.13993675175062117,0.0,29.0,8854,10.166396103896105
WOMEN_IN_PUBLIC_TRANSPORT_SYSTEM,0.13873626373626374,0.0,56.0,728,92.61363636363636
IPC_IN_PUBLIC_TRANSPORT_SYSTEM,0.13854595336076816,0.0,56.0,729,92.60349025974025
WOMEN_UNNATURAL_OFFENCES,0.1346153846153846,0.0,4.0,728,92.61363636363636
ST_KIDNAPPING_ABDUCTION,0.13422592259225924,0.0,46.0,8888,9.821428571428571
ST_IPC_HURT,0.1304945054945055,0.0,22.0,728,92.61363636363636
ST_IPC_GRIEVOUS_HURT,0.1304945054945055,0.0,22.0,728,92.61363636363636
SC_POA_STALKING,0.1304945054945055,0.0,10.0,728,92.61363636363636
SC_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,0.12912087912087913,0.0,31.0,728,92.61363636363636
SC_IPC_RIOTS,0.12362637362637363,0.0,17.0,728,92.61363636363636
ST_IPC_MURDER,0.12225274725274725,0.0,41.0,728,92.61363636363636
ST_POA_RIOTS,0.11813186813186813,0.0,4.0,728,92.61363636363636
WOMEN_ITP_UNDER_SECTION_8,0.11538461538461539,0.0,44.0,728,92.61363636363636
SC_IPC_MURDER,0.11126373626373626,0.0,11.0,728,92.61363636363636
SC_POA_ATTEMPT_TO_COMMIT_RAPE,0.11126373626373626,0.0,11.0,728,92.61363636363636
SC_ROBBERY,0.10843781768891901,0.0,14.0,8853,10.176542207792208
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,0.1066052572455628,0.0,60.0,8902,9.679383116883116
WOMEN_IMPORTATION_OF_GIRLS,0.1066052572455628,0.0,60.0,8902,9.679383116883116
WOMEN_KIDNAPPING_FOR_RANSOM,0.10576923076923077,0.0,10.0,728,92.61363636363636
WOMEN_ITP_UNDER_SECTION_6,0.10302197802197802,0.0,29.0,728,92.61363636363636
IPC_DACOITY_WITH_MURDER,0.102880658436214,0.0,4.0,729,92.60349025974025
ST_POA_ATTEMPT_TO_COMMIT_MURDER,0.10164835164835165,0.0,6.0,728,92.61363636363636
WOMEN_ITP_UNDER_SECTION_7,0.10164835164835165,0.0,18.0,728,92.61363636363636
CHILDREN_INFANTICID,0.09659863945578231,0.0,10.0,735,92.54261363636364
CHILDREN_SELLING_OF_GIRLS_FOR_PROSTITUTION,0.09645358030268805,0.0,40.0,8854,10.166396103896105
ST_IPC_KIDNAPING_ABDUCTION,0.09478021978021978,0.0,20.0,728,92.61363636363636
SC_IPC_ATTEMPT_TO_COMMIT_MURDER,0.08928571428571429,0.0,12.0,728,92.61363636363636
ST_POA_OTHER_KIDNAPPING,0.08791208791208792,0.0,14.0,728,92.61363636363636
ST_POA_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,0.08379120879120878,0.0,4.0,728,92.61363636363636
CHILDREN_ABETMENT_OF_SUICIDE,0.0831262706121527,0.0,67.0,8854,10.166396103896105
SC_POA_ROBBERY,0.07967032967032966,0.0,7.0,728,92.61363636363636
SC_IPC_KIDNAPING_ABDUCTION,0.07142857142857142,0.0,30.0,728,92.61363636363636
SC_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,0.0673076923076923,0.0,8.0,728,92.61363636363636
ST_IPC_OTHER_KIDNAPPING,0.0673076923076923,0.0,43.0,728,92.61363636363636
IPC_ATTEMPT_TO_ACID_ATTACK,0.06721536351165981,0.0,3.0,729,92.60349025974025
WOMEN_AT_OFFICE_PREMISES,0.06593406593406594,0.0,8.0,728,92.61363636363636
IPC_AT_OFFICE_PREMISES,0.06584362139917696,0.0,8.0,729,92.60349025974025
WOMEN_INDECENT_REPRESENTATION_OF_WOMEN_P_ACT_1986,0.06318681318681318,0.0,9.0,728,92.61363636363636
ST_IPC_ATTEMPT_TO_COMMIT_MURDER,0.06318681318681318,0.0,18.0,728,92.61363636363636
IPC_SEDITION,0.06310013717421124,0.0,18.0,729,92.60349025974025
WOMEN_CAUSING_MISCARRIAGE_WITHOUT_CONSENT_OF_WOMEN,0.061813186813186816,0.0,13.0,728,92.61363636363636
SC_IPC_SEXUAL_HARASSMENT,0.061813186813186816,0.0,8.0,728,92.61363636363636
ST_ARSON,0.06131863186318632,0.0,32.0,8888,9.821428571428571
ST_IPC_RIOTS,0.05357142857142857,0.0,23.0,728,92.61363636363636
WOMEN_ATTEMPT_TO_ACID_ATTACK,0.0521978021978022,0.0,2.0,728,92.61363636363636
ST_IPC_ATTEMPT_TO_COMMIT_RAPE,0.050824175824175824,0.0,30.0,728,92.61363636363636
ST_POA_KIDNAPING_ABDUCTION_TOTAL,0.050824175824175824,0.0,6.0,728,92.61363636363636
SC_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,0.04945054945054945,0.0,11.0,728,92.61363636363636
ST_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,0.04871737173717372,0.0,25.0,8888,9.821428571428571
SC_IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,0.046703296703296704,0.0,7.0,728,92.61363636363636
ST_ROBBERY,0.045567056705670565,0.0,32.0,8888,9.821428571428571
ST_IPC_ROBBERY,0.04532967032967033,0.0,17.0,728,92.61363636363636
SC_DACOITY,0.04461764373658647,0.0,9.0,8853,10.176542207792208
ST_IPC_SEXUAL_HARASSMENT,0.04395604395604396,0.0,9.0,728,92.61363636363636
ST_POA_STALKING,0.042582417582417584,0.0,12.0,728,92.61363636363636
ST_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,0.042582417582417584,0.0,5.0,728,92.61363636363636
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,0.04120879120879121,0.0,8.0,728,92.61363636363636
SC_IPC_OTHER_KIDNAPPING,0.04120879120879121,0.0,5.0,728,92.61363636363636
CHILDREN_BUYING_OF_GIRLS_FOR_PROSTITUTION,0.040659588886379036,0.0,45.0,8854,10.166396103896105
IPC_RIOTS_SECTARIAN,0.039780521262002745,0.0,21.0,729,92.60349025974025
SC_POA_OTHER_DACOITY,0.034340659340659344,0.0,2.0,728,92.61363636363636
SC_POA_DACOITY,0.034340659340659344,0.0,2.0,728,92.61363636363636
IPC_MAKING_OR_USING_DOCUMENTS_RESEMBLING_CURRENCY,0.03429355281207133,0.0,14.0,729,92.60349025974025
ST_POA_ARSON,0.03159340659340659,0.0,2.0,728,92.61363636363636
ST_POA_ATTEMPT_TO_COMMIT_RAPE,0.03021978021978022,0.0,4.0,728,92.61363636363636
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,0.03021978021978022,0.0,9.0,728,92.61363636363636
SC_IPC_ROBBERY,0.028846153846153848,0.0,3.0,728,92.61363636363636
ST_IPC_ARSON,0.0260989010989011,0.0,8.0,728,92.61363636363636
