STATE,DISTRICT,YEAR,Infanticid,Other murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total,CRIME_GROUP,SOURCE_FILE
Tamil Nadu,CHENNAI,2013,0,12,48,52,0,0,0,0,0,0,0,0,112,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,CHENNAI RLY.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,COIMBATORE RURAL,2013,0,2,7,6,0,0,0,0,0,0,0,0,15,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,COIMBATORE URBAN,2013,0,1,12,2,0,0,0,0,0,0,0,0,15,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,CUDDALORE,2013,0,0,11,0,0,0,0,0,0,0,0,0,11,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,DHARMAPURI,2013,1,4,14,89,0,0,0,0,0,0,11,11,130,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,DINDIGUL,2013,0,4,1,1,0,0,0,0,0,0,0,4,10,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,ERODE,2013,0,1,9,5,0,0,0,0,0,0,0,0,15,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,KANCHIPURAM,2013,0,1,0,0,0,0,0,0,0,0,0,0,1,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,KANYAKUMARI,2013,0,3,5,17,0,0,0,0,0,0,2,8,35,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,KARUR,2013,0,4,3,0,0,0,0,0,0,0,0,0,7,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,KRISHNAGIRI,2013,1,5,4,43,0,0,0,0,0,0,2,0,55,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,MADURAI RURAL,2013,0,0,0,1,0,0,1,0,0,0,14,0,16,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,MADURAI URBAN,2013,8,1,10,10,0,0,0,0,0,0,0,0,29,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,NAGAPATTINAM,2013,0,0,5,0,0,0,0,0,0,0,0,0,5,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,NAMAKKAL,2013,0,2,16,22,0,0,0,0,0,0,10,0,50,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,NILGIRIS,2013,0,1,13,7,0,1,0,0,0,0,0,0,22,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,PERAMBALUR,2013,0,1,4,0,0,0,0,0,0,0,1,0,6,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,PUDUKOTTAI,2013,0,1,1,1,0,0,0,0,0,0,1,1,5,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,RAMNATHAPURAM,2013,0,1,0,0,0,0,0,0,0,0,1,12,14,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,SALEM RURAL,2013,0,1,19,39,0,0,0,0,0,0,1,0,60,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,SALEM URBAN,2013,0,0,13,10,0,0,0,0,0,0,1,4,28,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,SIVAGANGAI,2013,0,3,6,11,0,0,0,0,0,0,0,0,20,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,THANJAVUR,2013,0,2,22,1,0,0,0,0,0,0,0,9,34,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,THENI,2013,0,3,14,16,0,0,0,0,0,0,3,0,36,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,THIRUNELVELI RURAL,2013,1,6,45,60,1,0,0,0,0,0,0,13,126,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,THIRUNELVELI URBAN,2013,0,2,7,1,0,0,0,0,0,0,0,0,10,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,THIRUVALLUR,2013,0,1,8,11,0,0,0,0,0,0,0,0,20,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,THIRUVANNAMALAI,2013,0,4,14,6,0,0,0,0,0,0,2,0,26,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,THIRUVARUR,2013,0,0,1,0,0,0,0,0,0,0,1,1,3,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,THOOTHUGUDI,2013,0,3,20,10,0,0,0,0,0,0,2,10,45,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,TIRUPPUR,2013,0,6,11,0,0,0,0,0,0,0,0,0,17,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,TRICHY RLY.,2013,0,0,0,0,0,0,0,0,0,0,0,1,1,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,TRICHY RURAL,2013,0,0,9,16,0,0,0,0,0,0,0,11,36,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,TRICHY URBAN,2013,0,1,8,5,0,0,0,0,0,0,1,0,15,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,VELLORE,2013,0,2,32,2,0,0,0,0,0,0,2,2,40,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,VILLUPURAM,2013,0,2,16,48,0,0,0,0,0,0,0,19,85,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,VIRUDHUNAGAR,2013,2,0,9,4,0,1,1,0,0,0,0,3,20,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tamil Nadu,TOTAL,2013,13,83,419,499,1,2,2,0,0,0,56,113,1188,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tripura,DHALAI,2013,0,0,6,10,0,0,0,0,0,0,0,8,24,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tripura,GOMATI,2013,0,4,2,0,0,0,0,0,0,0,0,1,7,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tripura,GRP,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tripura,KHOWAI,2013,0,1,9,1,0,0,0,0,0,0,0,11,22,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tripura,NORTH,2013,0,0,1,0,0,0,0,0,0,0,0,1,2,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tripura,SIPAHIJALA,2013,0,2,14,9,0,0,0,0,0,0,0,0,25,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tripura,SOUTH,2013,0,1,1,0,0,0,0,0,0,0,0,0,2,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tripura,UNAKOTI,2013,0,1,1,1,0,0,0,0,0,0,1,5,9,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tripura,WEST,2013,0,0,9,0,0,0,0,0,0,0,0,0,9,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Tripura,TOTAL,2013,0,9,43,21,0,0,0,0,0,0,1,26,100,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,AGRA,2013,1,18,30,126,0,3,0,0,0,0,0,9,187,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,ALIGARH,2013,1,22,52,212,0,0,0,0,0,0,0,10,297,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,ALLAHABAD,2013,0,13,30,130,0,0,0,0,0,0,0,0,173,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,AMBEDKAR NAGAR,2013,0,3,1,14,0,0,0,0,0,0,0,34,52,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,AMETHI,2013,0,2,18,44,0,0,0,0,0,0,0,15,79,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,AMROHA,2013,0,11,9,39,0,0,0,0,0,0,0,0,59,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,AURAIYA,2013,0,3,8,65,0,0,0,0,0,0,0,17,93,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,AZAMGARH,2013,0,3,34,60,1,0,0,0,0,0,0,12,110,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,BADAUN,2013,0,13,27,121,0,0,0,0,0,0,0,10,171,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,BAGHPAT,2013,0,5,10,36,0,0,0,0,0,0,0,7,58,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,BAHRAICH,2013,0,3,20,98,0,0,0,0,0,0,0,23,144,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,BALLIA,2013,0,2,13,56,0,0,0,0,0,0,0,26,97,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,BALRAMPUR,2013,0,2,11,44,0,0,0,0,0,0,0,6,63,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,BANDA,2013,0,6,19,37,0,0,0,0,0,0,0,103,165,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,BARABANKI,2013,1,14,23,55,0,0,0,0,0,0,0,37,130,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
Uttar Pradesh,BAREILLY,2013,1,5,41,190,0,0,0,0,0,0,0,67,304,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv
